smiles	randomized_smiles
CCC(CC)n1nccc1C(=O)O[C@@H](C)C(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2	C(NC(NC12CC3CC(C1)CC(C2)C3)=O)(=O)[C@@H](OC(=O)c1ccnn1C(CC)CC)C
Cc1ccc(NC(=O)c2ccnc3ccccc23)cc1C(F)(F)F	C(F)(F)(c1cc(NC(=O)c2c3ccccc3ncc2)ccc1C)F
C[C@H]1CN(c2ccc(NC(=O)C(=O)N[C@H](C)[C@@H]3C[C@H]4CC[C@H]3C4)cc2C(F)(F)F)C[C@@H](C)O1	c1cc(NC(=O)C(N[C@@H]([C@H]2[C@@H]3C[C@@H](C2)CC3)C)=O)cc(C(F)(F)F)c1N1C[C@@H](C)O[C@@H](C)C1
Cc1nc(C)c(C(=O)NCCc2nccnc2C)o1	n1c(C)oc(C(=O)NCCc2nccnc2C)c1C
CCC(=O)N(CCNC(=O)C(C)C)C1CC1	C(CNC(=O)C(C)C)N(C(CC)=O)C1CC1
CC[C@@H](NC(=O)c1cc(C(=O)O)cc([N+](=O)[O-])c1)[C@@H](O)C(F)(F)F	c1c(C(O)=O)cc([N+]([O-])=O)cc1C(=O)N[C@@H]([C@H](C(F)(F)F)O)CC
Cc1c(Cl)cc(NCc2noc3c2COCC3)cc1Cl	C1c2onc(CNc3cc(Cl)c(C)c(Cl)c3)c2COC1
CC(C)(C)OC(=O)N1CC[C@@]2(CCC[C@H]2C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)c2ccc(O)nc2)C1	C(C)(OC(=O)N1CC[C@@]2(CCC[C@H]2C(N[C@H]2C[C@@H]3N(C(=O)c4cnc(O)cc4)[C@@H](CC3)C2)=O)C1)(C)C
COc1ccsc1C(=O)N1CC[C@@H]2CN(C(=O)CNC(C)=O)C[C@@H]2C1	CC(NCC(N1C[C@H]2CCN(C(=O)c3c(OC)ccs3)C[C@H]2C1)=O)=O
COC(=O)[C@@H]1[C@@H](C(=O)O)[C@H]2CC[C@H]1N2C(=O)N[C@H](C)C1(OC)CCC1	C(OC)(=O)[C@H]1[C@@H]2N(C(N[C@@H](C3(OC)CCC3)C)=O)[C@H](CC2)[C@@H]1C(O)=O
COCCn1c(SCc2nnc(C(F)(F)F)s2)nc(C)c1C	S(c1nc(C)c(C)n1CCOC)Cc1sc(C(F)(F)F)nn1
CCN(C[C@@H]1CCN(Cc2ccccc2)C1)C(=O)NC[C@@H]1C[C@@H]2CC[C@H](C1)N2	C1C[C@H]2C[C@@H](CNC(N(C[C@H]3CN(Cc4ccccc4)CC3)CC)=O)C[C@@H]1N2
C=CCn1cc(C(=O)NC[C@H]2CC[C@@H](NC(=O)[C@@H]3CCO[C@H]3C3CC3)C2)nn1	C=CCn1cc(C(=O)NC[C@H]2CC[C@@H](NC([C@@H]3CCO[C@H]3C3CC3)=O)C2)nn1
CC/C=C\CCSCc1conc1C	C(SCc1conc1C)C/C=C\CC
CCN(CCNC(=O)[C@H](C)C(C)(F)F)C(=O)[C@H](C)C#N	C(C)(F)(F)[C@@H](C)C(=O)NCCN(C(=O)[C@@H](C#N)C)CC
Cc1ccc(OC(C)(C)C(=O)N2CC3(CCCN3C(=O)/C=C3\C(=O)Nc4ccccc43)C2)nc1	C1C2(CN(C(=O)C(C)(Oc3ncc(C)cc3)C)C2)N(C(/C=C2/c3c(cccc3)NC2=O)=O)CC1
CC(C)(C)n1cc(C(=O)N[C@@H]2[C@H]3COC[C@@H]2CN(C(=O)c2nc4ccc(F)cn4n2)C3)cn1	O=C(c1nn2c(ccc(F)c2)n1)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)c1cnn(C(C)(C)C)c1
CCOc1cccc(CCNC(=O)c2cccnc2NC)n1	O(CC)c1cccc(CCNC(c2cccnc2NC)=O)n1
O=C(NC[C@@H]1CCN(C(=O)c2[nH]nc3ccncc23)[C@@H]1c1cccnc1)[C@@H]1ON=C(c2ccccc2)O1	N(C[C@H]1[C@@H](c2cnccc2)N(C(=O)c2c3cnccc3n[nH]2)CC1)C([C@H]1OC(c2ccccc2)=NO1)=O
CC(C)(C)c1cc(C(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)c2n[nH]c3c2CS(=O)(=O)C3)[nH]n1	[nH]1nc(C(C)(C)C)cc1C(=O)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)c1n[nH]c2c1CS(=O)(=O)C2
CCN(CCSC)C[C@@H](O)CC(C)(C)C#N	N#CC(C)(C)C[C@H](O)CN(CC)CCSC
C=CCOc1ccc(CC(=O)N(C)C[C@@H](C)C(=O)NC)cc1	N(C(=O)[C@@H](CN(C)C(Cc1ccc(OCC=C)cc1)=O)C)C
Cc1nc2ccc(F)cn2c1C(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)[C@@H]1[C@@H]3Sc4ccccc4[C@H]31)C2	c1ccc2c(c1)[C@@H]1[C@@H](S2)[C@H]1C(N1C[C@@H]2[C@H](NC(c3n4cc(F)ccc4nc3C)=O)[C@@H](COC2)C1)=O
C=C(CC(=O)OCC)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3c(F)c(C)nn3C)C[C@@H]21	C(C(CC(=O)OCC)=C)(NC[C@H]1[C@@H]2[C@@H](CCN(C(c3n(C)nc(C)c3F)=O)C2)CO1)=O
Cc1cc(C(=O)N2C[C@@H]3COC[C@H](C2)[C@@H]3NC(=O)c2ccc(Cl)cc2C(F)(F)F)c[nH]1	FC(F)(c1cc(Cl)ccc1C(=O)N[C@H]1[C@@H]2COC[C@H]1CN(C(c1c[nH]c(C)c1)=O)C2)F
CCC[C@@H](CCO)NC(=O)Nc1ccc(Oc2ccc(OC)cc2)nc1	N([C@H](CCO)CCC)C(Nc1ccc(Oc2ccc(OC)cc2)nc1)=O
COc1ccc(OCC(=O)N[C@H]2CCCN(C)[C@@H]2C)cc1C	[C@@H]1(C)[C@@H](NC(COc2cc(C)c(OC)cc2)=O)CCCN1C
O=C(NCC(=O)N1CCOC[C@]2(C1)CN(C(=O)c1c(O)cc(O)cc1O)CCO2)c1cccs1	N1(C(=O)c2c(O)cc(O)cc2O)CCO[C@@]2(CN(C(CNC(c3cccs3)=O)=O)CCOC2)C1
CC(C)CC[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CCOC[C@@]2(CN(C(=O)c3ccco3)CCO2)C1	C1OC[C@]2(OCCN(C(=O)c3occc3)C2)CN(C([C@H](NC(OC(C)(C)C)=O)CCC(C)C)=O)C1
C[C@]1(O)CCOC[C@@H]1[C@@H]1CCCN1/C(O)=N/[C@@H]1CC[C@@H]2CCCC[C@H]2C1	C1[C@@H]2[C@H](CC[C@@H](/N=C(/N3[C@H]([C@@H]4[C@@](C)(O)CCOC4)CCC3)O)C2)CCC1
CC(=O)Nc1ccc(N2C[C@H](C(=O)N3C[C@@H](C)N(C(=O)OC(C)(C)C)[C@H](C)C3)CC2=O)cc1	C[C@@H]1CN(C([C@H]2CN(c3ccc(NC(=O)C)cc3)C(=O)C2)=O)C[C@@H](C)N1C(=O)OC(C)(C)C
CCN(CCCN[C@H](C)CCOC)c1ccccc1	C(COC)[C@@H](C)NCCCN(CC)c1ccccc1
Cc1ccc(CC(=O)N2CCCC23CN(C(=O)[C@@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C3)cc1	c1ccccc1C[C@H](C(=O)N1CC2(C1)N(C(Cc1ccc(C)cc1)=O)CCC2)NC(=O)OC(C)(C)C
COCC[C@H](C)S(=O)(=O)N1CC[C@@H]1c1cccc(F)c1	c1ccc([C@H]2CCN2S([C@@H](C)CCOC)(=O)=O)cc1F
C=CCCSCC1CCC2(CC1)OCCO2	C1C2(OCCO2)CCC(CSCCC=C)C1
CN[C@H](CC(=O)N[C@@H]1C[C@@H]2CC[C@H](C1)N2C(=O)/C=C/c1c[nH]c2cc(C)ccc12)C(=O)O	C(\c1c2c([nH]c1)cc(C)cc2)=C/C(N1[C@@H]2C[C@@H](NC(=O)C[C@@H](NC)C(O)=O)C[C@H]1CC2)=O
COc1cccc(Cl)c1CN1CCC[C@@H](C#N)CC1	c1(CN2CC[C@H](C#N)CCC2)c(OC)cccc1Cl
O=C(c1ccc(NCc2ccccc2Cl)c([N+](=O)[O-])c1)N1C[C@H](O)Cc2ccccc21	O[C@@H]1Cc2c(cccc2)N(C(c2ccc(NCc3c(Cl)cccc3)c([N+](=O)[O-])c2)=O)C1
CCn1ccnc1C(=O)NCCC(C)(C)C1CC1	C1C(C(CCNC(=O)c2n(CC)ccn2)(C)C)C1
O=C(c1ccn2ccnc2c1)N1CC[C@@H]2CN(C(=O)c3nc[nH]n3)C[C@@H]2C1	c1cc(C(N2C[C@H]3CN(C(c4nc[nH]n4)=O)C[C@H]3CC2)=O)cc2nccn12
COC(=O)CCC(=O)NCCc1sccc1C	COC(CCC(=O)NCCc1sccc1C)=O
C[S@@](=O)c1ccc(NC(=O)NC[C@H]2CCCN2CC(F)(F)F)cc1	c1c(NC(NC[C@H]2CCCN2CC(F)(F)F)=O)ccc([S@](=O)C)c1
Cn1ccnc1C(=O)N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)c1cccc([C@@H](F)c3cccc(F)c3)c1)C2	N(C(=O)c1n(C)ccn1)[C@@H]1[C@@H]2CN(C(c3cc([C@@H](F)c4cc(F)ccc4)ccc3)=O)C[C@H]1COC2
CC[C@@H](C)[C@H](O)C(=O)N1[C@H]2CC[C@@H]1C[C@H](NC(=O)[C@@H](N[C@@H](C)c1ccccc1)C1CC1)C2	c1cc([C@H](C)N[C@@H](C2CC2)C(N[C@H]2C[C@H]3CC[C@H](N3C([C@H]([C@@H](CC)C)O)=O)C2)=O)ccc1
CCCNC(=O)CSCCOc1c(C)cccc1C	O(CCSCC(NCCC)=O)c1c(C)cccc1C
C[C@H]1CCc2c(C(=O)N3CC[C@]4(C3)CN(C(=O)[C@@]35C[C@@H]3CCN5C(=O)OC(C)(C)C)CCO4)n[nH]c21	C1CN(C(OC(C)(C)C)=O)[C@]2(C(=O)N3CCO[C@]4(CCN(C(c5n[nH]c6c5CC[C@@H]6C)=O)C4)C3)C[C@H]12
COc1ccc(S(=O)(=O)N(CC(=O)N(Cc2ccc(Cl)cc2Cl)[C@H](C)C(=O)NCC(C)C)c2ccccc2)cc1OC	C(C)(CNC(=O)[C@@H](C)N(C(=O)CN(c1ccccc1)S(=O)(c1ccc(OC)c(OC)c1)=O)Cc1ccc(Cl)cc1Cl)C
C[C@H]1COCCN1C(=O)Nc1nncs1	N(c1nncs1)C(N1[C@@H](C)COCC1)=O
Cc1noc(CCC(=O)NCc2ccc(O)c(Br)c2)n1	n1c(C)noc1CCC(=O)NCc1ccc(O)c(Br)c1
CC[C@H](C)[C@H](N)C(=O)N1CC[C@]2(CN(C(=O)c3cccn3C)CCN2C(=O)OCc2ccccc2)C1	[C@H]([C@H](N)C(=O)N1C[C@]2(CC1)CN(C(=O)c1n(C)ccc1)CCN2C(=O)OCc1ccccc1)(C)CC
CC(C)[C@H](CNC(=O)NCCC1Cc2ccccc2C1)Cc1ccccc1	C(C1Cc2ccccc2C1)CNC(NC[C@H](Cc1ccccc1)C(C)C)=O
Brc1cccc(OC2CCC2)c1Br	C1(Oc2c(Br)c(Br)ccc2)CCC1
CCOC(=O)N1CCC[C@H]([C@@H](C)NC(=O)N2CC(C3CCCCC3)C2)C1	O=C(N1CCC[C@H]([C@H](NC(N2CC(C3CCCCC3)C2)=O)C)C1)OCC
CC(C)n1nnnc1-c1cccc(NC(=O)N[C@H](CCO)c2cccc(C(F)(F)F)c2)c1	C(Nc1cccc(-c2nnnn2C(C)C)c1)(=O)N[C@@H](c1cc(C(F)(F)F)ccc1)CCO
CC(C)(C)c1cc(C(=O)N2CCCC[C@@H]2c2cc(NC(=O)[C@H]3[C@H]4c5ccccc5S[C@H]43)n[nH]2)[nH]n1	[C@@H]1(c2[nH]nc(NC([C@H]3[C@H]4c5c(cccc5)S[C@H]43)=O)c2)N(C(c2[nH]nc(C(C)(C)C)c2)=O)CCCC1
CCCNC(=O)CN[C@H](C)CNC(=O)CNC(=O)C(C)(C)C	O=C(NCC(NC[C@@H](C)NCC(=O)NCCC)=O)C(C)(C)C
CC(C)(C)OC(=O)N1C[C@@H]2CCO[C@@H]2[C@@H](C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)c2ccc[nH]2)C1	[C@H]12N(C(=O)c3ccc[nH]3)[C@H](C[C@@H](NC(=O)[C@@H]3[C@@H]4[C@@H](CCO4)CN(C(OC(C)(C)C)=O)C3)C1)CC2
C=CCc1cc(C=O)ccc1OCC#N	c1c(CC=C)c(OCC#N)ccc1C=O
C=C1CC(C)(C(=O)N2CC[C@H]3[C@@H](CCCN3C(=O)C(C)C)C2)C1	C(=O)(C(C)C)N1[C@@H]2[C@H](CN(C(=O)C3(C)CC(=C)C3)CC2)CCC1
CCc1ccccc1OCc1nnc(N2CCS[C@H](C(C)C)C2)n1C[C@](C)(O)c1ccsc1	c1(OCc2n(C[C@](c3ccsc3)(C)O)c(N3CCS[C@H](C(C)C)C3)nn2)ccccc1CC
COc1cc(Cl)ccc1CNCCCNC(=O)C(N)=O	c1(OC)cc(Cl)ccc1CNCCCNC(=O)C(N)=O
CCOCC(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@H](c2ccc(Cl)cc2)C(C)C)[nH]n1	CCOCC(=O)Nc1n[nH]c([C@@H]2CCCCN2C(=O)[C@@H](C(C)C)c2ccc(Cl)cc2)c1
CN1CCN(C2CCc3ccccc3CC2)CC1(C)C	C1N(C2CCc3c(cccc3)CC2)CC(C)(C)N(C)C1
CCOCC(C)(C)Cn1c(CC2CC2)nnc1N1CCO[C@@]2(CCO[C@H]2C)C1	n1(CC(COCC)(C)C)c(CC2CC2)nnc1N1C[C@]2(CCO[C@H]2C)OCC1
C[C@@H](C(=O)N1C[C@H](C)C[C@@H](C)C1)N1CCC[C@H](CN2CCOCC2)C1	O=C([C@H](C)N1CCC[C@H](CN2CCOCC2)C1)N1C[C@H](C)C[C@@H](C)C1
CCn1ccc(C(=O)NC[C@@H]2CCN(C(=O)Cc3ccc(SC)cc3)[C@@H]2c2cccnc2)n1	O=C(N1[C@H](c2cccnc2)[C@H](CNC(c2nn(CC)cc2)=O)CC1)Cc1ccc(SC)cc1
Cc1cc(C)n2nc(NC(=O)NCc3nnc(S)n3C(C)C)nc2n1	CC(n1c(CNC(Nc2nn3c(C)cc(C)nc3n2)=O)nnc1S)C
CC[C@@H](C)[C@@H](O)C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3ncn(-c4ccccc4)n3)C[C@@H]21	c1cc(-n2nc(C(N3C[C@@H]4[C@H](CNC(=O)[C@@H]([C@@H](CC)C)O)OC[C@@H]4CC3)=O)nc2)ccc1
Cn1cnc(C(=O)NC2(C(=O)O)CCCC2)c1	O=C(NC1(C(=O)O)CCCC1)c1cn(C)cn1
CCC[C@@H]1C[C@H]1C(=O)NC[C@H]1CC[C@H](NC(=O)[C@@H](C)n2cccc2)CC1	[C@@H](C)(C(=O)N[C@H]1CC[C@H](CNC([C@H]2[C@H](CCC)C2)=O)CC1)n1cccc1
C[C@H]1CC[C@H](C(=O)NC2(c3ccc(NC(=O)CCc4ccco4)cc3)CCC2)CC1	c1cc(NC(=O)CCc2occc2)ccc1C1(NC(=O)[C@H]2CC[C@H](C)CC2)CCC1
COc1cc(CN2CC[C@@H](NC(=O)[C@H](CC#N)c3ccccc3)C2)cc(OC)c1	c1ccc([C@H](C(N[C@@H]2CCN(Cc3cc(OC)cc(OC)c3)C2)=O)CC#N)cc1
CC(=O)N[C@H](C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3cc4cnccc4nc3C)C[C@@H]21)C(C)(C)C	c1c2cc(C(=O)N3CC[C@H]4CO[C@@H](CNC([C@@H](NC(C)=O)C(C)(C)C)=O)[C@H]4C3)c(C)nc2ccn1
Cn1ccnc1[C@@H](NC(=O)N1CCCC[C@H]1CNC(=O)c1ccccc1)c1ccccc1	N(C(=O)c1ccccc1)C[C@H]1N(C(N[C@H](c2n(C)ccn2)c2ccccc2)=O)CCCC1
OCc1ccc(-c2ccc(F)cc2F)o1	OCc1ccc(-c2ccc(F)cc2F)o1
CCC[C@@](C)(CC)C(=O)NC1CN(CC(=O)NCC)C1	C1(NC(=O)[C@](C)(CC)CCC)CN(CC(=O)NCC)C1
CC(C)NCCC(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)c1ccc(Br)nc1F	[C@@H]12[C@H](NC(=O)c3c(F)nc(Br)cc3)[C@@H](COC1)CN(C(=O)CCNC(C)C)C2
NC(=O)Cn1cc(C(=O)N2CCCC[C@H](NC(=O)[C@@H]3C[C@@H]4O[C@H]3[C@H]3C[C@@H]43)C2)nn1	C1[C@@H](NC(=O)[C@@H]2C[C@@H]3O[C@H]2[C@@H]2[C@H]3C2)CCCCN1C(=O)c1nnn(CC(N)=O)c1
COc1cc(C(=O)N2CC[C@]3(CN(C(=O)CC(C)(C)O)CCO3)C2)cc(C(F)(F)F)c1	N1(C(CC(C)(C)O)=O)C[C@]2(CCN(C(c3cc(OC)cc(C(F)(F)F)c3)=O)C2)OCC1
O=C(CCc1nccs1)OCC1CCCC1	C(c1sccn1)CC(=O)OCC1CCCC1
CC(=O)OC[C@H](OC(C)=O)C(=O)N1CC[C@@]2(CN(C(=O)c3ccc(-c4ncc[nH]4)cc3)CCO2)C1	c1c(C(=O)N2CCO[C@]3(CCN(C(=O)[C@@H](OC(=O)C)COC(=O)C)C3)C2)ccc(-c2ncc[nH]2)c1
CCOc1ccc(N(CC(=O)N(Cc2ccccc2C)[C@H](Cc2ccccc2)C(=O)N[C@@H](C)CC)S(=O)(=O)c2ccc(F)cc2)cc1	c1c(F)ccc(S(=O)(N(CC(N([C@@H](C(=O)N[C@H](CC)C)Cc2ccccc2)Cc2ccccc2C)=O)c2ccc(OCC)cc2)=O)c1
Oc1ccc(-c2cc(-n3ccnc3)ncn2)c(F)c1	n1cnc(-c2c(F)cc(O)cc2)cc1-n1cncc1
Cn1nncc1COc1ccc(CCO)cc1	n1cc(COc2ccc(CCO)cc2)n(C)n1
Cn1c(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)CSc4ccc(F)cc4F)[C@H]3C2)cc2ccccc21	C1C[C@H]2CO[C@@H](CNC(CSc3c(F)cc(F)cc3)=O)[C@H]2CN1C(c1cc2c(cccc2)n1C)=O
CCOc1cc(/C=N/N2C(=O)[C@H]3[C@H]4C=C[C@H]([C@H]3C2=O)[C@@H]2C[C@@H]42)cc(Br)c1OCc1ccccc1Cl	[C@@H]12C[C@H]1[C@H]1[C@H]3[C@@H]([C@H]2C=C1)C(=O)N(/N=C/c1cc(Br)c(OCc2ccccc2Cl)c(OCC)c1)C3=O
O[C@@H](CNCc1ccccc1OC(F)F)c1ccc(Cl)cc1Cl	N(C[C@@H](c1ccc(Cl)cc1Cl)O)Cc1c(OC(F)F)cccc1
N#Cc1ccc(CC(=O)N2CC[C@H](CNC(=O)c3cc(O)nc(O)c3)[C@H]2c2cccnc2)cc1	c1(O)nc(O)cc(C(=O)NC[C@H]2CCN(C(=O)Cc3ccc(C#N)cc3)[C@@H]2c2cccnc2)c1
Cc1nc(-c2ccccc2)sc1[C@H](C)N(C)C(=O)C(=O)N[C@@H]1CCO[C@H]1C1CC1	N(C(C(=O)N(C)[C@H](c1sc(-c2ccccc2)nc1C)C)=O)[C@H]1[C@H](C2CC2)OCC1
CC[C@@H](C(=O)N[C@H](C)CC)N(Cc1cccc(C)c1)C(=O)CCCN(c1cc(Cl)ccc1C)S(C)(=O)=O	c1c(CN([C@H](C(N[C@@H](CC)C)=O)CC)C(=O)CCCN(S(C)(=O)=O)c2c(C)ccc(Cl)c2)cc(C)cc1
C=CCn1c(SCC(=O)OC)nnc1C1CCCCC1	c1(C2CCCCC2)nnc(SCC(=O)OC)n1CC=C
Cc1ncc(C(=O)N[C@H](C)C2CN(C(=O)c3cnns3)C2)[nH]1	c1nnsc1C(N1CC([C@H](NC(c2cnc(C)[nH]2)=O)C)C1)=O
C[C@H]1CC[C@@H](C(=O)N[C@H]2[C@@H]3CN(CC(=O)NCC#N)C[C@@H]32)C1	N1(CC(=O)NCC#N)C[C@H]2[C@H](NC(=O)[C@H]3C[C@@H](C)CC3)[C@H]2C1
CC(C)CC[C@](C)(O)Cn1c(-c2cnccn2)nnc1N1CCCN(CC(=O)N2CCCC2)CC1	C1CCCN1C(CN1CCN(c2nnc(-c3cnccn3)n2C[C@](O)(C)CCC(C)C)CCC1)=O
CC(C)C(=O)c1ccc([C@H](C)C(=O)N2C[C@@H](C(=O)O)O[C@H](C)C2)cc1	C(N1C[C@@H](C)O[C@H](C(O)=O)C1)([C@H](c1ccc(C(=O)C(C)C)cc1)C)=O
COCCC(=O)CSc1nc2cc(C(F)(F)F)ccc2s1	C(C(CSc1nc2cc(C(F)(F)F)ccc2s1)=O)COC
CO[C@@H]1CCCN(C(=O)C(=O)NC[C@H]2CCC[C@H]2C)CC1	CO[C@@H]1CCCN(C(C(=O)NC[C@H]2CCC[C@H]2C)=O)CC1
CS(=O)(=O)c1ccc(CNC(=O)C(=O)NCCN2CCC3(CCCCC3)CC2)s1	C12(CCN(CCNC(=O)C(NCc3sc(S(=O)(=O)C)cc3)=O)CC1)CCCCC2
CC[C@H](C)[C@H](N)C(=O)N1C[C@@H]2COC[C@H](C1)[C@@H]2NC(=O)[C@H](C)C1CCN(C(=O)OC(C)(C)C)CC1	C[C@H]([C@@H](C(N1C[C@H]2COC[C@H]([C@H]2NC([C@@H](C2CCN(C(OC(C)(C)C)=O)CC2)C)=O)C1)=O)N)CC
CC(C)CCN(CCC(C)C)C[C@H](O)c1ccccn1	c1cnc([C@H](CN(CCC(C)C)CCC(C)C)O)cc1
O=C(CN(CCCO)Cc1cccc(Cl)c1)Nc1ccccc1C(=O)NC1CCCC1	c1c(NC(CN(Cc2cccc(Cl)c2)CCCO)=O)c(C(=O)NC2CCCC2)ccc1
Cn1cccc1C(=O)C(=O)NC[C@H]1CCCCS1(=O)=O	C1CC[C@H](CNC(C(=O)c2cccn2C)=O)S(=O)(=O)C1
O=C(COC(=O)c1ccc2c(=O)n(-c3ccccc3)c(O)nc2c1)NC[C@H]1CCN(c2ccccc2)C1	C(C(=O)NC[C@H]1CCN(c2ccccc2)C1)OC(c1cc2nc(O)n(-c3ccccc3)c(=O)c2cc1)=O
CCN(C[C@H]1CCN(c2nnnn2CC2CC2)C1)CC(F)(F)F	C1CC1Cn1nnnc1N1CC[C@H](CN(CC(F)(F)F)CC)C1
CN(C)c1ccc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2ccc4cc(O)ccc4n2)C3)cn1	n1c2c(cc(O)cc2)ccc1C(N1C[C@]2(CNC(=O)c3cnc(N(C)C)cc3)CCCO[C@@H]2CC1)=O
Cc1cccc([C@H](NCc2cnc(N(C)C)nc2)C(=O)O)c1	n1cc(CN[C@H](C(O)=O)c2cccc(C)c2)cnc1N(C)C
CCc1ccsc1C(=O)NC(C)(C)CCO	c1csc(C(=O)NC(C)(C)CCO)c1CC
Cc1cccnc1CN1CCS(=O)CC1	c1cnc(CN2CCS(=O)CC2)c(C)c1
Cc1cccc(C)c1OCCC(=O)N1CCCC[C@@H]1[C@@H]1C[C@H](C)CC[C@@H]1O	C[C@@H]1CC[C@H](O)[C@H]([C@@H]2N(C(=O)CCOc3c(C)cccc3C)CCCC2)C1
O=C(/C=C\c1nc2ccccc2o1)N1CCc2[nH]c3ccccc3c2C1	c12oc(/C=C\C(N3Cc4c5ccccc5[nH]c4CC3)=O)nc1cccc2
Cc1ccc(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3C(=O)[C@H]2C[C@@H]2c2ccc(F)cc2)c(O)n1	c1(F)ccc([C@H]2C[C@@H]2C(N2[C@H]3CC[C@@H]2C[C@H](NC(=O)c2c(O)nc(C)cc2)C3)=O)cc1
CS[C@H](C)CC(=O)N(C)C[C@H]1CCN1Cc1cnc(C)o1	[C@H](C)(SC)CC(=O)N(C[C@@H]1N(Cc2oc(C)nc2)CC1)C
Cc1cc(C(=O)NCC2CN(C(=O)[C@H](O)C(C)C)C2)ccn1	C(NCC1CN(C(=O)[C@@H](C(C)C)O)C1)(=O)c1cc(C)ncc1
CC(C)=CC(=O)N1CC(NC(=O)[C@@H]2CCc3ccc(F)cc3O2)C1	CC(C)=CC(=O)N1CC(NC(=O)[C@@H]2CCc3ccc(F)cc3O2)C1
CCNc1ccccc1CN1CC2(CCC2)C1	C12(CN(Cc3c(NCC)cccc3)C1)CCC2
CCC[C@H](C)NC(=O)[C@@H]1CCCN(C(=O)CCc2ccc(S(=O)(=O)N(CC)CC)cc2)C1	C(C)C[C@@H](NC(=O)[C@@H]1CCCN(C(CCc2ccc(S(=O)(=O)N(CC)CC)cc2)=O)C1)C
Cc1ccc(CCN(Cc2ccco2)C(=O)N[C@H]2CCN(C(=O)Nc3ccccc3)C2)cc1	c1(CCN(C(=O)N[C@H]2CCN(C(Nc3ccccc3)=O)C2)Cc2occc2)ccc(C)cc1
COCCOCCOCCC(=O)N1CCCC[C@@H]1c1cc(NC(=O)[C@H](C)CC(N)=O)n[nH]1	C1[C@H](c2[nH]nc(NC([C@H](C)CC(=O)N)=O)c2)N(C(=O)CCOCCOCCOC)CCC1
N#Cc1ccc(C(=O)N[C@]23CCC[C@H]2CN(C(=O)C[C@@H]2COC(=O)C2)C3)[nH]1	[nH]1c(C#N)ccc1C(=O)N[C@@]12CN(C(C[C@H]3CC(=O)OC3)=O)C[C@@H]1CCC2
O=C(N[C@@H]1[C@H]2COC[C@@H]1CN(C(=O)c1cnn3c(-c4ccsc4)ccnc13)C2)[C@@H]1CCCSC1	c1nn2c(nccc2-c2ccsc2)c1C(=O)N1C[C@H]2[C@@H](NC(=O)[C@H]3CSCCC3)[C@H](COC2)C1
O=C1N[C@@H]([C@@H]2CCCOC2)C(=O)N1c1ccc(C2CC2)c(-c2nn[nH]n2)c1	C1(c2c(-c3n[nH]nn3)cc(N3C(=O)N[C@@H]([C@@H]4CCCOC4)C3=O)cc2)CC1
CCc1cc(Br)ccc1Nc1cnoc1C	Brc1cc(CC)c(Nc2c(C)onc2)cc1
C=C(C)CSCCC(=O)N1CCC[C@H]1C	C1N(C(=O)CCSCC(C)=C)[C@H](C)CC1
O=C(NCC1CCN(Cc2cscn2)CC1)c1ncccc1F	C1C(CNC(=O)c2c(F)cccn2)CCN(Cc2cscn2)C1
Cn1ncc(C(=O)NC[C@H]2CC[C@@H](NC(=O)C[C@@H]3COC(=O)C3)C2)c1N	N(C(c1c(N)n(C)nc1)=O)C[C@@H]1C[C@H](NC(=O)C[C@H]2CC(=O)OC2)CC1
O=C(c1cc(O)nc(O)c1)N1CCO[C@]2(COCCN(C(=O)[C@@H]3CC[C@H]4CCC(=O)N4C3)C2)C1	C1C(=O)N2[C@@H](CC[C@@H](C(N3C[C@]4(CN(C(c5cc(O)nc(O)c5)=O)CCO4)COCC3)=O)C2)C1
C=CCOc1ccccc1CN[C@H]1CCCN(c2ccnn2C)C1	N1(c2ccnn2C)C[C@@H](NCc2ccccc2OCC=C)CCC1
CCSc1cccnc1C(=O)NCc1ccc(NC(=O)N(C)C)cc1	c1cnc(C(NCc2ccc(NC(=O)N(C)C)cc2)=O)c(SCC)c1
CC(C)(C)OC(=O)c1ccccc1NC(=O)NC/C=C\Cl	N(C/C=C\Cl)C(=O)Nc1c(C(OC(C)(C)C)=O)cccc1
